,date,lat,lon,mask,lst,lstn,ndvi,vcr,prec
0,2019-06-02,39.73749999644011,-122.29583332237743,9.0,310.26,,0.3108,59.0,0.7180651426315308
1,2019-06-10,39.73749999644011,-122.29583332237743,5.0,323.92,,0.2526,59.0,0.0
2,2019-06-18,39.73749999644011,-122.29583332237743,5.0,,297.90000000000003,0.2526,59.0,0.0
6,2019-06-02,39.72916666310752,-122.29583332237743,9.0,310.36,,0.31980000000000003,57.0,0.7180651426315308
7,2019-06-10,39.72916666310752,-122.29583332237743,5.0,321.90000000000003,,0.267,57.0,0.0
8,2019-06-18,39.72916666310752,-122.29583332237743,5.0,,297.82,0.267,57.0,0.0
18,2019-06-02,39.220833329819726,-121.3041666557996,5.0,302.64,,0.6064,60.0,1.3396663665771484
19,2019-06-10,39.220833329819726,-121.3041666557996,5.0,304.96,,0.5611,60.0,0.17256484925746918
20,2019-06-18,39.220833329819726,-121.3041666557996,5.0,312.62,295.66,0.5611,60.0,0.0
21,2019-06-02,38.07083332992275,-122.13749998905828,5.0,299.16,286.84000000000003,0.3352,28.0,0.16665488481521606
22,2019-06-10,38.07083332992275,-122.13749998905828,5.0,316.92,,0.334,28.0,0.07877366244792938
23,2019-06-18,38.07083332992275,-122.13749998905828,5.0,,287.68,0.334,28.0,0.0
24,2019-06-02,38.02083332992723,-122.062499989065,5.0,300.34000000000003,288.98,0.2596,28.0,0.454933226108551
25,2019-06-10,38.02083332992723,-122.062499989065,5.0,318.66,,0.2686,28.0,0.0
26,2019-06-18,38.02083332992723,-122.062499989065,5.0,,290.08,0.2686,28.0,0.0
27,2019-06-02,38.004166663262055,-121.92916665574361,5.0,302.82,,0.3156,75.0,0.454933226108551
28,2019-06-10,38.004166663262055,-121.92916665574361,5.0,315.96,,0.2531,75.0,0.0
29,2019-06-18,38.004166663262055,-121.92916665574361,5.0,311.36,292.90000000000003,0.2531,75.0,0.0
36,2019-06-02,37.88749999660584,-121.18749998914339,5.0,308.16,,0.33030000000000004,68.0,0.5249975323677063
37,2019-06-10,37.88749999660584,-121.18749998914339,5.0,317.2,,0.37720000000000004,68.0,0.0
38,2019-06-18,37.88749999660584,-121.18749998914339,5.0,315.1,293.34000000000003,0.37720000000000004,68.0,0.304767906665802
39,2019-06-02,37.45416666331133,-121.92916665574361,3.0,302.36,,0.3037,55.0,0.1622900366783142
40,2019-06-10,37.45416666331133,-121.92916665574361,5.0,316.02,,0.2781,55.0,0.14742515981197357
41,2019-06-18,37.45416666331133,-121.92916665574361,5.0,307.52,291.36,0.2781,55.0,0.0
42,2019-06-02,37.18749999666855,-121.67916665576601,5.0,301.5,,0.2338,64.0,0.1621328443288803
43,2019-06-10,37.18749999666855,-121.67916665576601,5.0,,,0.28200000000000003,64.0,0.0
44,2019-06-18,37.18749999666855,-121.67916665576601,5.0,309.94,289.34000000000003,0.28200000000000003,64.0,0.0
45,2019-06-02,34.62083333023182,-117.09583332284328,5.0,318.22,,0.1285,26.0,0.06605811417102814
46,2019-06-10,34.62083333023182,-117.09583332284328,5.0,310.44,295.24,0.1419,26.0,0.0
47,2019-06-18,34.62083333023182,-117.09583332284328,5.0,322.24,292.1,0.1419,26.0,0.0
48,2019-06-02,34.62083333023182,-117.10416665617586,5.0,316.46,,0.1332,18.0,0.06605811417102814
49,2019-06-10,34.62083333023182,-117.10416665617586,5.0,310.44,294.8,0.124,18.0,0.0
50,2019-06-18,34.62083333023182,-117.10416665617586,5.0,322.3,291.88,0.124,18.0,0.0
51,2019-06-02,34.35416666358904,-116.85416665619826,5.0,313.7,286.84000000000003,0.1563,29.0,0.0
52,2019-06-10,34.35416666358904,-116.85416665619826,8.0,,291.72,0.2179,29.0,0.0
53,2019-06-18,34.35416666358904,-116.85416665619826,5.0,318.5,292.36,0.2179,29.0,0.0
54,2019-06-02,33.57083333032588,-116.14583332292838,5.0,319.34000000000003,293.52,0.18660000000000002,41.0,0.0
55,2019-06-10,33.57083333032588,-116.14583332292838,5.0,,294.3,0.1794,41.0,0.0
56,2019-06-18,33.57083333032588,-116.14583332292838,5.0,325.26,295.2,0.1794,41.0,0.0
63,2019-06-02,39.96249999641995,-122.22916665571674,9.0,309.08,,0.4531,70.0,0.7517513036727905
64,2019-06-10,39.96249999641995,-122.22916665571674,5.0,311.76,,0.42650000000000005,70.0,0.0
65,2019-06-18,39.96249999641995,-122.22916665571674,5.0,,296.48,0.42650000000000005,70.0,0.0
72,2019-06-02,37.662499996625996,-121.52083332244686,5.0,311.08,,0.21580000000000002,79.0,0.23564471304416656
73,2019-06-10,37.662499996625996,-121.52083332244686,5.0,321.54,,0.1879,79.0,0.0
74,2019-06-18,37.662499996625996,-121.52083332244686,5.0,321.54,294.76,0.1879,79.0,0.05606687441468239
75,2019-06-02,37.65416666329341,-121.52916665577945,5.0,310.92,,0.2233,79.0,0.23564471304416656
76,2019-06-10,37.65416666329341,-121.52916665577945,5.0,322.44,,0.194,79.0,0.0
77,2019-06-18,37.65416666329341,-121.52916665577945,5.0,321.2,294.58,0.194,79.0,0.05606687441468239
78,2019-06-02,38.63749999653865,-122.79583332233264,5.0,296.42,,0.5387000000000001,74.0,0.0
79,2019-06-10,38.63749999653865,-122.79583332233264,5.0,310.08,,0.5568000000000001,74.0,0.0
80,2019-06-18,38.63749999653865,-122.79583332233264,5.0,,288.94,0.5568000000000001,74.0,0.0
84,2019-06-02,39.75416666310528,-122.27916665571226,5.0,307.7,,0.5731,82.0,0.7180651426315308
85,2019-06-10,39.75416666310528,-122.27916665571226,5.0,315.92,,0.47890000000000005,82.0,0.0
86,2019-06-18,39.75416666310528,-122.27916665571226,5.0,,296.74,0.47890000000000005,82.0,0.0
87,2019-06-02,39.75416666310528,-122.28749998904485,5.0,307.96,,0.4713,63.0,0.7180651426315308
88,2019-06-10,39.75416666310528,-122.28749998904485,5.0,315.16,,0.4567,63.0,0.0
89,2019-06-18,39.75416666310528,-122.28749998904485,5.0,,296.82,0.4567,63.0,0.0
93,2019-06-02,34.604166663566645,-117.3374999894883,5.0,317.18,,0.1269,8.0,0.10416439175605774
94,2019-06-10,34.604166663566645,-117.3374999894883,5.0,312.48,292.54,0.131,8.0,0.0
95,2019-06-18,34.604166663566645,-117.3374999894883,5.0,321.48,289.32,0.131,8.0,0.0
105,2019-06-02,37.87916666327325,-121.18749998914339,5.0,307.68,,0.20950000000000002,50.0,0.5249975323677063
106,2019-06-10,37.87916666327325,-121.18749998914339,5.0,314.1,,0.2546,50.0,0.0
107,2019-06-18,37.87916666327325,-121.18749998914339,5.0,314.36,292.86,0.2546,50.0,0.304767906665802
111,2019-06-02,34.61249999689923,-117.3374999894883,5.0,316.98,,0.0844,5.0,0.10416439175605774
112,2019-06-10,34.61249999689923,-117.3374999894883,5.0,312.48,291.92,0.2041,5.0,0.0
113,2019-06-18,34.61249999689923,-117.3374999894883,5.0,320.54,,0.2041,5.0,0.0
117,2019-06-02,33.820833330303486,-117.11249998950845,5.0,,,0.258,50.0,0.0
118,2019-06-10,33.820833330303486,-117.11249998950845,5.0,,293.08,0.2508,50.0,0.0
